ADDR_ID, LAT, LON, HUISNR, STRAAT_ID, STRAATNM, POSTCODE, NISCODE, GEM_NAAM, MATCH_NIS, MATCH_GEM
2003221535, 51.0163670489, 4.34174698696, 104, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221543, 51.0163670489, 4.34174698696, 44, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221551, 51.0163670489, 4.34174698696, 62A, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221559, 51.0163670489, 4.34174698696, 86, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221567, 51.0256344424, 4.36936438581, 11, 27006, Trieststraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221575, 51.0270444718, 4.34047565708, 149A, 140102, Beekstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221538, 51.0163670489, 4.34174698696, 110, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221546, 51.0163670489, 4.34174698696, 50, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221554, 51.0163670489, 4.34174698696, 64, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221562, 51.0163670489, 4.34174698696, 92, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221570, 51.0256344424, 4.36936438581, 7, 27006, Trieststraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221534, 51.0163670489, 4.34174698696, 102A, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221542, 51.0163670489, 4.34174698696, 42, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221550, 51.0163670489, 4.34174698696, 62, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221558, 51.0163670489, 4.34174698696, 66B, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221566, 51.0295866895, 4.37674662658, 188, 26970, Moerstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221574, 51.0270444718, 4.34047565708, 149, 140102, Beekstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221537, 51.0163670489, 4.34174698696, 108, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221545, 51.0163670489, 4.34174698696, 48, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221553, 51.0163670489, 4.34174698696, 62C, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
2003221561, 51.0163670489, 4.34174698696, 90, 26905, Bormstraat, 2830, 23039, Kapelle-op-den-Bos, 12040, Willebroek
